"steps","plot"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
5,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
10,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
6,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
6,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
8,"Gnathostomata"
2,"Gnathostomata"
5,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
6,"Gnathostomata"
5,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
6,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
4,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
7,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
6,"Gnathostomata"
2,"Gnathostomata"
8,"Gnathostomata"
6,"Gnathostomata"
5,"Gnathostomata"
6,"Gnathostomata"
6,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
7,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
6,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
7,"Gnathostomata"
9,"Gnathostomata"
6,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
1,"Lemuriformes"
3,"Lemuriformes"
2,"Lemuriformes"
1,"Lemuriformes"
2,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
3,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
4,"Lemuriformes"
2,"Lemuriformes"
3,"Lemuriformes"
2,"Lemuriformes"
2,"Lemuriformes"
1,"Lemuriformes"
6,"Lemuriformes"
5,"Lemuriformes"
4,"Lemuriformes"
5,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
6,"Lemuriformes"
2,"Lemuriformes"
4,"Lemuriformes"
2,"Lemuriformes"
2,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
4,"Lemuriformes"
1,"Lemuriformes"
2,"Lemuriformes"
1,"Lemuriformes"
3,"Lemuriformes"
4,"Lemuriformes"
2,"Lemuriformes"
1,"Lemuriformes"
3,"Lemuriformes"
1,"Lemuriformes"
5,"Lemuriformes"
1,"Lemuriformes"
2,"Lemuriformes"
2,"Lemuriformes"
3,"Lemuriformes"
5,"Lemuriformes"
4,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
1,"Lemuriformes"
2,"Lemuriformes"
2,"Lemuriformes"
1,"Lemuriformes"
4,"Lemuriformes"
4,"Lemuriformes"
2,"Lemuriformes"
4,"Lemuriformes"
5,"Lemuriformes"
2,"Lemuriformes"
